,상권_코드,기준_분기_코드,분기당_매출_금액,총_생활인구_수,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균
0,1001491,1,2000943596,1498299.0,HH,정체,128.0,60.0
1,1001491,2,2613750535,1623934.0,HH,정체,129.0,60.0
2,1001491,3,2142748962,1645289.0,HH,정체,130.0,60.0
3,1001491,4,3017097116,1905510.0,HH,정체,130.0,61.0
4,1001492,1,7932319080,3409654.0,HH,정체,157.0,64.0
5,1001492,2,9348198140,3714818.0,HH,정체,159.0,64.0
6,1001492,3,8196711694,3396868.0,HH,정체,161.0,65.0
7,1001492,4,9407352194,3954704.0,HH,정체,163.0,65.0
8,1001493,1,4335270933,2938219.0,HH,정체,131.0,63.0
9,1001493,2,5760259108,3164130.0,HH,정체,134.0,63.0
10,1001493,3,4735363043,2911876.0,HH,정체,137.0,63.0
11,1001493,4,5277816191,3218311.0,HH,정체,140.0,63.0
12,1001494,1,4399261951,3556483.0,HH,정체,154.0,73.0
13,1001494,2,5114336006,3889871.0,HH,정체,156.0,73.0
14,1001494,3,4454129437,3492107.0,HH,정체,157.0,74.0
15,1001494,4,5111783476,3868466.0,HH,정체,158.0,74.0
16,1001495,1,5276941131,2941031.0,LL,다이나믹,110.0,53.0
17,1001495,2,6844032239,2998695.0,LL,다이나믹,112.0,53.0
18,1001495,3,6198029059,3029714.0,LL,다이나믹,112.0,54.0
19,1001495,4,3498651061,3371333.0,LL,다이나믹,113.0,54.0
20,1001496,1,5710967944,88025.0,HH,정체,128.0,63.0
21,1001496,2,6489768084,95914.0,HH,정체,131.0,64.0
22,1001496,3,5426412430,84144.0,HH,정체,134.0,64.0
23,1001496,4,6363824129,102294.0,HH,정체,136.0,64.0
24,2110001,1,179545291,188663.0,LH,상권확장,105.0,62.0
25,2110001,2,213825282,185240.0,LH,상권확장,107.0,62.0
26,2110001,3,199821500,152846.0,LH,상권확장,109.0,62.0
27,2110001,4,207449266,144948.0,LH,상권확장,108.0,62.0
28,2110002,1,338936987,289007.0,HH,정체,139.0,64.0
29,2110002,2,382222096,294330.0,HH,정체,140.0,65.0
30,2110002,3,360196053,314146.0,HH,정체,139.0,66.0
31,2110002,4,343477277,320156.0,HH,정체,144.0,66.0
32,2110003,1,120163896,312891.0,LH,상권확장,115.0,59.0
33,2110003,2,118876976,307470.0,HH,정체,117.0,59.0
34,2110003,3,123617690,396066.0,HH,정체,119.0,59.0
35,2110003,4,150051881,399155.0,HH,정체,119.0,59.0
36,2110004,1,100774742,325638.0,HH,정체,162.0,78.0
37,2110004,2,130796830,325489.0,HH,정체,165.0,78.0
38,2110004,3,111405835,476889.0,HH,정체,162.0,78.0
39,2110004,4,183340496,450799.0,HH,정체,154.0,80.0
40,2110005,1,125206297,261362.0,HH,정체,121.0,59.0
41,2110005,2,151452317,255742.0,HH,정체,123.0,59.0
